DW067,DW102,DW145
0,0,0.7997539850626917
0,0,0.8116567730105724
0,0,0.858137117737597
0,0,0.8736829457120614
0,0,0.8537614680998239
0,0,0.9508350980613062
0,0,0.8231859885730403
0,0,0.9218601708505124
0,0,0.9999999999999999
0,0.5292753624277751,0
0,0.3557142855449657,0
0,0.5323206749235436,0
0,0.4088322716289287,0
0,0.41618233629637014,0
0,0.5482098765343361,0
0,0.6449448124749843,0
0,0.4095538059008739,0
0,0.36658333341613963,0
0,0.6627495292536311,0.6041569481338661
0,0.7034625322145369,0.909181423940973
0,0.3952380950499619,0.6607887526652214
0,0.5403137253189362,0.48699406380634347
0,0.918605664554186,0.9807519342484785
0,0.7067326731182882,0.828231447198134
0.7293762575882334,0,0
0.7810047096827042,0,0
0.8105140791229853,0,0
1,0,0
0.8112244898373073,0,0
0.7927786498873866,0,0
0.6173187506947612,0,0
0.9190662566795441,0,0
0.6446126838083985,0,0
0.5127679212506514,0,0.7193767001291679
0.4187192118580979,0,0.4282189181709749
0.43189368767509656,0,0.5455088544680701
0.1972789115916979,0,0.5979204896736172
0.24895500368617116,0,0.9039460597892272
0.24221809929807234,0,0.5575016216306518
0.5412109595174086,0.5625046039892496,0
0.5681818181922541,0.7545454545786546,0
0.3713151927740467,0.7070370371062652,0
0.5658187445186642,0.524486571852139,0
0.8390705680530137,0.4333333334550667,0
0.7961155477446996,0.6094685988976803,0
0.32784198016978783,1,0.41560738376236955
0.321330455220476,0.4362820512148426,0.5804516586821661
0.37768354103967766,0.5701010100006724,0.38079351848591986
0.38595749175438554,0.6020725389502425,0.5630080338338405
0.3789379829274968,0.773592232825207,0.2930435558008584
